algorithm,model,round,rmse,mae,r2
FedAvg,MLP,7,0.4345940662159122,0.3812927697475849,-64266.03189513805
FedAvg,MLP,8,0.4351703906243757,0.3823145494414968,-66380.4644258546
FedAvg,MLP,9,0.4354264736681061,0.3829456697920295,-68355.0016594855
FedAvg,MLP,10,0.4353666466948874,0.3832059202745216,-70123.41000566332
FedAvg,MLP,11,0.4350091996303138,0.3832005253994611,-71757.18737299036
FedAvg,MLP,12,0.4345276398497907,0.3830687776338866,-73185.38209804709
FedAvg,MLP,13,0.4337946465198991,0.3827206612890341,-74335.28364902725
FedAvg,MLP,14,0.4330312613664382,0.3822999166321461,-75300.47298170436
FedAvg,MLP,15,0.4321254076789994,0.3817608157444503,-76000.13276573141
FedAvg,MLP,16,0.4312163135099708,0.3811938550277418,-76640.8318458475
FedAvg,MLP,17,0.4303123910135381,0.3805917501187701,-77112.15664257525
FedAvg,MLP,18,0.4292990708025677,0.3798831555409674,-77531.95746871499
FedAvg,MLP,19,0.4282893688426179,0.3791612913874624,-77919.37638837885
FedAvg,MLP,20,0.4273081487840119,0.378447667445156,-78292.8577257929
FedAvg,MLP,21,0.4264413487463351,0.3778246690393123,-78661.59406806463
FedAvg,MLP,22,0.4255057213490499,0.3771359487084806,-78894.76510997229
FedAvg,MLP,23,0.4245979051680945,0.3764600165070465,-79135.96173600531
FedAvg,MLP,24,0.4237184614236159,0.3757842493182955,-79349.42617192125
FedAvg,MLP,25,0.4228281555180171,0.3750776977446879,-79517.99906336695
FedAvg,Residual,1,0.6541683316072303,0.5570045831647615,-147701.8475209925
FedAvg,Residual,2,0.622823932368221,0.5321741544089963,-132157.47009044036
FedAvg,Residual,3,0.6183402471590458,0.5307747773524957,-133477.35064957055
FedAvg,Residual,4,0.6075283757844411,0.5228327111273952,-133835.9093237711
FedAvg,Residual,5,0.5999272321114584,0.5175495567504048,-134194.16265568623
FedAvg,Residual,6,0.5915128079250178,0.5114376201623353,-134399.51283571715
FedAvg,Residual,7,0.5836386001576939,0.505874144879083,-132439.96597156543
FedAvg,Residual,8,0.5761797349954902,0.5003384529941949,-129704.70344746429
FedAvg,Residual,9,0.5696446452724165,0.4953938247292239,-127594.31534790868
FedAvg,Residual,10,0.5639792883351652,0.4910808535577542,-125907.4836756035
FedAvg,Residual,11,0.5584571755457746,0.4868087005295736,-123788.6244997224
FedAvg,Residual,12,0.5535526652736928,0.4829488442343232,-121830.39864086056
FedAvg,Residual,13,0.5490887200986959,0.4794220287477195,-119993.74301646338
FedAvg,Residual,14,0.5450970435481512,0.4762256192223468,-118206.42598121824
FedAvg,Residual,15,0.5415892172121451,0.4733539696370361,-116598.28495508716
FedAvg,Residual,16,0.5386160912719267,0.4709670024094137,-115461.64013811824
